Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
44,30 October 2017,19:34,F9 B4,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",Success
45,15 December 2017,15:36,F9 FTB1035.2,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",Success
46,23 December 2017,01:27,F9 FTB1036.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Controlled
47,8 January 2018,01:00,F9 B4,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,Success
48,31 January 2018,21:25,F9 FTB1032.2,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,Controlled
49,22 February 2018,14:17,F9 FTB1038.2,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,No attempt
50,6 March 2018,05:33,F9 B4,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,No attempt
51,30 March 2018,14:14,F9 B4B1041.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,No attempt
52,2 April 2018,20:30,F9 B4B1039.2,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,No attempt
53,18 April 2018,22:51,F9 B4,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,Success
54,11 May 2018,20:14,F9 B5B1046.1,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,Success
55,22 May 2018,19:47,F9 B4B1043.2,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,No attempt
56,4 June 2018,04:45,F9 B4B1040.2,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,No attempt
57,29 June 2018,09:42,F9 B4B1045.2,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,No attempt
58,22 July 2018,05:50,F9 B5,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success
59,25 July 2018,11:39,F9 B5B1048,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success
60,7 August 2018,05:18,F9 B5B1046.2,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,Success
61,10 September 2018,04:45,F9 B5,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,Success
62,8 October 2018,02:22,F9 B5B1048.2,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,Success
63,15 November 2018,20:46,F9 B5B1047.2,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,Success
64,3 December 2018,18:34:05,F9 B5B1046.3,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,Success
65,5 December 2018,18:16,F9 B5,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",Failure
66,23 December 2018,13:51,F9 B5,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,No attempt
67,11 January 2019,15:31,F9 B5B1049.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
68,22 February 2019,01:45,F9 B5B1048.3,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",Success
69,2 March 2019,07:49,F9 B5[268],KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",Success
70,4 May 2019,06:48,F9 B5,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",Success
71,24 May 2019,02:30,F9 B5B1049.3,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",Success
72,12 June 2019,14:17,F9 B5B1051.2,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",Success
73,25 July 2019,22:01,F9 B5B1056.2,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",Success
74,6 August 2019,23:23,F9 B5B1047.3,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",No attempt
75,11 November 2019,14:56,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
76,5 December 2019,17:29,F9 B5,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",Success
77,17 December 2019,00:10,F9 B5B1056.3,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",Success
78,7 January 2020,02:19:21,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
79,19 January 2020,15:30,F9 B5,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
","No attempt
"
80,29 January 2020,14:07,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
81,17 February 2020,15:05,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
82,7 March 2020,04:50,F9 B5,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",Success
83,18 March 2020,12:16,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
84,22 April 2020,19:30,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
85,30 May 2020,19:22,F9 B5,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",Success
86,4 June 2020,01:25,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
87,13 June 2020,09:21,F9 B5,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",Success
88,30 June 2020,20:10:46,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",Success
89,20 July 2020,21:30,F9 B5B1058.2,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",Success
90,7 August 2020,05:12,F9 B5,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",Success
91,18 August 2020,14:31,F9 B5B1049.6,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",Success
92,30 August 2020,23:18,F9 B5,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",Success
93,3 September 2020,12:46:14,F9 B5B1060.2,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
94,6 October 2020,11:29:34,F9 B5B1058.3,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
95,18 October 2020,12:25:57,F9 B5B1051.6,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
96,24 October 2020,15:31:34,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
97,5 November 2020,23:24:23,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",Success
98,16 November 2020,00:27,F9 B5,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",Success
99,21 November 2020,17:17:08,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",Success
100,25 November 2020,02:13,F9 B5 ♺,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
101,6 December 2020,16:17:08,F9 B5 ♺,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",Success
102,13 December 2020,17:30:00,F9 B5 ♺,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",Success
103,19 December 2020,14:00:00,F9 B5 ♺,KSC,NROL-108,C,LEO,NRO,"Success
",Success
104,8 January 2021,02:15,F9 B5,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",Success
105,20 January 2021,13:02,F9 B5B1051.8,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
106,24 January 2021,15:00,F9 B5B1058.5,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
",Success
107,4 February 2021,06:19,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
108,16 February 2021,03:59:37,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
109,4 March 2021,08:24,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
110,11 March 2021,08:13:29,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
111,14 March 2021,10:01,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
112,24 March 2021,08:28,F9 B5B1060.6,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
113,7 April 2021,16:34,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
114,23 April 2021,9:49,F9 B5B1061.2,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
",Success
115,29 April 2021,03:44,F9 B5B1060.7,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
116,4 May 2021,19:01,F9 B5B1049.9,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
117,9 May 2021,06:42,F9 B5B1051.10,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
118,15 May 2021,22:56,F9 B5B1058.8,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",Success
119,26 May 2021,18:59,F9 B5B1063.2,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
120,3 June 2021,17:29,F9 B5B1067.1,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",Success
121,6 June 2021,04:26,F9 B5,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",Success
